id,city,raion,address,lat,lon,workinghours,mintime,pAddress
171,თბილისი,ვაკე,მელიქიშვილის 10,41.70752069,44.78397103,09:00-18:00,15,
172,თბილისი,ვაკე,ფილარმონიასთან,41.70700007,44.78680076,09:00-18:00,15,
173,თბილისი,მთაწმინდა,რუსთაველზე მაგდონალდთან,41.70337558,44.79026349,09:00-18:00,15,
174,თბილისი,მთაწმინდა,ვეკუას 3 ჯთს,41.69773219,44.80361821,09:00-18:00,15,
175,თბილისი,მთაწმინდა,თავისუფლებაზე ყვავილებთან,41.69717543,44.80336072,09:00-18:00,15,
176,თბილისი,მთაწმინდა,შარდენზე კოტე აფხაზის 44,41.69017552,44.80843814,09:00-18:00,15,
177,თბილისი,ისანი,ავლაბარი მეტროს უკან,41.69294153,44.81523754,09:00-18:00,15,
178,თბილისი,ორთაჭალა,გორგასლის9 11,41.68862522,44.8147306,09:00-18:00,15,
179,თბილისი,ორთაჭალა,გორგასლის19 25,41.68825266,44.81688173,09:00-18:00,15,
180,თბილისი,ორთაჭალა,გორგასლის25 27,41.68805437,44.81764616,09:00-18:00,15,
181,თბილისი,საბურთალო,ხეთაგუროვი,41.70048586,44.8084891,09:00-18:00,15,
182,თბილისი,საბურთალო,ხეთაგუროვი,41.70156126,44.80769517,09:00-18:00,15,
183,თბილისი,სამგორი,ვარკეთილი ყვავილებთან,41.68974689,44.87093361,09:00-18:00,15,
184,თბილისი,სამგორი,ჯავახეთის ქ,41.68887359,44.87071367,09:00-18:00,15,
185,თბილისი,დიდუბე ჩუღურეთი,"ვაგზალი ,თბილისი ცენტრალი",41.72091439,44.79837776,09:00-18:00,15,"ფასიანი 1,5 ლ სადგომი"
186,თბილისი,ვაგზალი,"ვაგზალი ,გადასასვლელი ხიდთან",41.72345386,44.80015875,09:00-18:00,15,
187,თბილისი,დიდუბე,თორნიკე ერისთავის ქ.საბას მიმდებარედ,41.74994567,44.78914233,09:00-18:00,15,
188,თბილისი,თემქა,გურამიშვილის1 3,41.75147648,44.79009451,09:00-18:00,15,
189,თბილისი,თემქა,გურამიშვილის 9 15,41.75562749,44.78846432,09:00-18:00,15,
190,თბილისი,სანზონა,მეტრო ღრმაღელესთან,41.76552021,44.79004623,09:00-18:00,15,
191,თბილისი,თემქა,გურამიშვილის 12 12 ა,41.75529234,44.78812845,09:00-18:00,15,
192,თბილისი,თემქა,გურამიშვილის 28 30,41.76196705,44.78816601,09:00-18:00,15,
193,თბილისი,თემქა,გურამიშვილის 25 29,41.77105963,44.7934285,09:00-18:00,15,
194,თბილისი,გლდანი,მეტრო გურამიშვილთან,41.77451427,44.79502441,09:00-18:00,15,
195,თბილისი,გლდანი,გლდანში შეშელიძეზე,41.79038682,44.81442751,09:00-18:00,15,
196,თბილისი,გლდანი,გლდანში ხიზანიშვილზე თიშების მოპირდაპირედ,41.79107476,44.81548967,09:00-18:00,15,
197,თბილისი,გლდანი,გლდანი მუხიანის გზაზე,41.79080278,44.81707485,09:00-18:00,15,
198,თბილისი,გლდანი,გლდანი მუხიანის გზის მოპირდაპირედ,41.79108676,44.81749596,09:00-18:00,15,
199,თბილისი,საბურთალო,მეტრო პოლიტექნიკური(მორკინალთან),41.72210656,44.77801653,09:00-18:00,15,
200,თბილისი,ვაკე,ფალიაშვილის 30 (ბაზალეთის ქ-ის კვეთა),41.70797123,44.77237852,09:00-18:00,15,
201,თბილისი,საბურთალო,პეკინის 41,41.73067434,44.76787241,09:00-18:00,15,
202,თბილისი,საბურთალო,ყაზბეგის 21,41.72556784,44.75851418,09:00-18:00,15,
203,თბილისი,ვაგზალი,თამარ მეფის9,41.71889535,44.79279013,09:00-18:00,15,
204,თბილისი,ვაგზალი,თამარ მეფის 23,41.72025273,44.79626628,09:00-18:00,15,
